Date,Production,Lag3_Plantation,Plantation,Lag4_Plantation,Soya_Price,Lag1_Soya_Price,Lag3_Soya_Price,Lag6_Soya_Price
1/1/2012,0,0,0,0,498,474,503,559
2/1/2012,707.7270833,0,0,0,512,498,486,558
3/1/2012,2189.312952,0,0,0,543,512,474,543
4/1/2012,500.0499644,0,0,0,575,543,498,503
5/1/2012,0,0,0,0,573,575,512,486
6/1/2012,0,0,0,0,567,573,543,474
7/1/2012,0,0,0,0,662,567,575,498
8/1/2012,0,0,0,0,684,662,573,512
9/1/2012,0,0,253.2683203,0,670,684,567,543
10/1/2012,0,0,280.7978984,0,617,670,662,575
11/1/2012,0,0,39.53378125,0,589,617,684,573
12/1/2012,0,253.2683203,0,0,607,589,670,567
1/1/2013,483.5737969,280.7978984,0,253.2683203,592,607,617,662
2/1/2013,1194.206203,39.53378125,0,280.7978984,596,592,589,684
3/1/2013,2050.62,0,0,39.53378125,511,596,607,670
4/1/2013,0,0,0,0,495,511,592,617
5/1/2013,0,0,0,0,497,495,596,589
6/1/2013,0,0,0,0,524,497,511,607
7/1/2013,0,0,0,0,509,524,495,592
8/1/2013,0,0,0,0,516,509,497,596
9/1/2013,0,0,128.19,0,556,516,524,511
10/1/2013,0,0,271.175167,0,544,556,509,495
11/1/2013,0,0,27.93483298,0,553,544,516,497
12/1/2013,0,128.19,0,0,568,553,556,524
1/1/2014,119.9843402,271.175167,0,128.19,566,568,544,509
2/1/2014,634.1416819,27.93483298,0,271.175167,591,566,553,516
3/1/2014,1418.776938,0,0,27.93483298,500,591,568,556
4/1/2014,74.69503961,0,0,0,516,500,566,544
5/1/2014,0,0,0,0,521.25,516,591,553
6/1/2014,0,0,0,0,516,521.25,500,568
7/1/2014,0,0,0,0,480,516,516,566
8/1/2014,0,0,0,0,460,480,521.25,591
9/1/2014,0,0,52.83757502,0,432,460,516,500
10/1/2014,0,0,274.525455,0,424,432,480,516
11/1/2014,0,0,65.23696999,0,449,424,460,521.25
12/1/2014,0,52.83757502,0,0,446,449,432,516
1/1/2015,137.4324757,274.525455,0,52.83757502,433.21,446,424,480
2/1/2015,987.9825491,65.23696999,0,274.525455,423.55,433.21,449,460
3/1/2015,673.0441055,0,0,65.23696999,409.79,423.55,446,432
4/1/2015,513.5622698,0,0,0,394.73,409.79,433.21,424
5/1/2015,0,0,0,0,388.2,394.73,423.55,449
6/1/2015,0,0,0,0,391.48,388.2,409.79,446
7/1/2015,0,0,0,0,405.87,391.48,394.73,433.21
8/1/2015,0,0,0,0,378.78,405.87,388.2,423.55
9/1/2015,0,0,335.8560165,0,367.49,378.78,391.48,409.79
10/1/2015,0,0,48.14398352,0,375.95,367.49,405.87,394.73
11/1/2015,0,0,0,0,368,375.95,378.78,388.2
12/1/2015,0,335.8560165,0,0,368.42,368,367.49,391.48
1/1/2016,206.828009,48.14398352,0,335.8560165,373.08,368.42,375.95,405.87
2/1/2016,1153.295677,0,0,48.14398352,373.75,373.08,368,378.78
